"","longitude","latitude","begin","end","ID"
"51",-120.6276,34.72602,"2002-08-29","2002-11-20","doi:10.6085/AA/PURXXX_015ADCP015R00_20020829.50.3"
"52",-119.69602,34.0313,"2005-02-24","2005-05-24","doi:10.6085/AA/PELXXX_015ADCP015R00_20050224.50.6"
"53",-122.15845,36.972121,"2003-04-29","2003-07-27","doi:10.6085/AA/SHB001_021ADCP020R00_20030429.50.3"
"54",-121.9448,36.558,"2006-07-05","2006-09-29","doi:10.6085/AA/SWC001_022ADCP021R00_20060705.50.2"
"55",-124.075676,44.8417,"2002-05-13","2002-07-04","doi:10.6085/AA/FC30CX_030ADCP029R00_20020513.50.2"
"56",-122.08045,36.943421,"2002-01-24","2002-04-16","doi:10.6085/AA/TPT001_018ADCP018R00_20020124.50.3"
"57",-121.898647,36.62185,"2004-07-13","2004-10-09","doi:10.6085/AA/HMS001_020ADCP019R00_20040713.50.4"
"58",-122.0799,36.9442,"2005-04-10","2005-07-11","doi:10.6085/AA/TPT001_018ADCP018R00_20050407.50.1"
"59",120.352284,34.059275,"2008-04-03","2008-07-02","doi:10.6085/AA/CUYXXX_015ADCP015R00_20080403.50.5"
"60",-119.69602,34.0313,"2005-06-02","2005-08-25","doi:10.6085/AA/PELXXX_015ADCP015R00_20050602.50.12"
"61",-120.63583,34.86919,"2007-03-05","2007-06-10","doi:10.6085/AA/PTSXXX_015ADCP015R00_20070305.50.4"
"62",-119.69602,34.0313,"2005-02-24","2005-05-24","doi:10.6085/AA/PELXXX_015ADCP015R00_20050224.50.9"
"63",-120.63535,34.869817,"2002-04-23","2002-06-12","doi:10.6085/AA/PTSXXX_015ADCP015R00_20020423.50.1"
"64",-122.08045,36.943421,"2009-08-12","2009-11-10","doi:10.6085/AA/TPT001_018ADCP018R00_20090812.50.3"
"65",-120.12842,33.89511,"2007-11-15","2008-02-27","doi:10.6085/AA/SRSXXX_015ADCP015R00_20071115.50.8"
"66",-121.9448,36.5589,"2005-09-28","2005-12-29","doi:10.6085/AA/SWC001_022ADCP021R00_20050928.50.1"
"67",-122.08045,36.943421,"2005-04-10","2005-07-11","doi:10.6085/AA/TPT001_018ADCP018R00_20050407.50.2"
"68",-119.69665,34.03065,"2002-10-17","2003-01-04","doi:10.6085/AA/PELXXX_015ADCP015R00_20021017.50.2"
"69",-124.102737,44.505,"2004-07-09","2004-09-09","doi:10.6085/AA/SR15XX_015ADCP014R00_20040709.50.3"
"70",-119.85566,33.96617,"2007-04-27","2007-07-23","doi:10.6085/AA/MORXXX_015ADCP015R00_20070427.50.2"
"71",-124.100933,44.4991,"2005-08-12","2005-09-13","doi:10.6085/AA/SR15CX_015ADCP014R00_20050812.50.2"
"72",-120.6276,34.72602,"2000-03-10","2000-05-13","doi:10.6085/AA/PURXXX_015ADCP015R00_20000310.50.4"
"73",-121.898647,36.62185,"2005-12-12","2006-03-13","doi:10.6085/AA/HMS001_020ADCP019R00_20051212.50.3"
"74",-124.025515,45.0019,"2001-04-20","2001-07-09","doi:10.6085/AA/CH15CX_015ADCP014R00_20010420.50.4"
"75",-121.9448,36.558,"2006-07-05","2006-09-29","doi:10.6085/AA/SWC001_022ADCP021R00_20060705.50.3"
"76",-124.14023,44.243,"2002-05-14","2002-07-05","doi:10.6085/AA/SH30CX_030ADCP029R00_20020514.50.4"
"77",-122.08045,36.943421,"2004-01-27","2004-04-24","doi:10.6085/AA/TPT001_018ADCP018R00_20040127.50.4"
"78",-124.1196,44.32,"2005-08-09","2005-09-06","doi:10.6085/AA/YB15CX_015ADCP014R00_20050809.50.1"
"79",-119.69602,34.0313,"2005-02-24","2005-05-24","doi:10.6085/AA/PELXXX_015ADCP015R00_20050224.50.12"
"80",-121.898647,36.62185,"2003-10-24","2004-01-21","doi:10.6085/AA/HMS001_020ADCP019R00_20031024.50.5"
"81",-119.69602,34.0313,"2005-06-02","2005-08-25","doi:10.6085/AA/PELXXX_015ADCP015R00_20050602.50.11"
"82",-119.931633,34.42485,"1999-08-17","1999-09-06","doi:10.6085/AA/ELLXXX_015ADCP015R00_19990817.50.1"
"83",-121.8996,36.6214,"2002-08-29","2002-11-04","doi:10.6085/AA/HMS001_020ADCP019R00_20020829.50.1"
"84",-120.12842,33.89511,"2007-11-15","2008-02-27","doi:10.6085/AA/SRSXXX_015ADCP015R00_20071115.50.4"
"85",-122.0799,36.9442,"2005-01-12","2005-04-03","doi:10.6085/AA/TPT001_018ADCP018R00_20050110.50.1"
"86",-124.102233,44.4994,"2002-06-27","2002-09-07","doi:10.6085/AA/SR15CX_015ADCP014R00_20020627.50.2"
"87",-120.63535,34.869817,"2003-03-12","2003-05-23","doi:10.6085/AA/PTSXXX_015ADCP015R00_20030312.50.1"
"88",-120.28998,34.46085,"2010-07-26","2011-01-10","doi:10.6085/AA/ALEXXX_015ADCP015R00_20100726.50.1"
"89",-121.898647,36.62185,"2001-05-04","2001-07-03","doi:10.6085/AA/HMS001_020ADCP019R00_20010504.50.3"
"90",-121.9448,36.5589,"2004-07-09","2004-10-12","doi:10.6085/AA/SWC001_022ADCP021R00_20040709.50.1"
"91",-120.6276,34.72602,"2001-05-11","2001-07-24","doi:10.6085/AA/PURXXX_015ADCP015R00_20010511.50.3"
"92",-121.9448,36.558,"2004-01-16","2004-04-11","doi:10.6085/AA/SWC001_022ADCP021R00_20040116.50.4"
"93",-124.120552,44.32,"2005-04-21","2005-06-08","doi:10.6085/AA/YB15CX_015ADCP014R00_20050421.50.3"
"94",-120.63583,34.86919,"2004-08-19","2004-11-13","doi:10.6085/AA/PTSXXX_015ADCP015R00_20040819.50.2"
"95",-120.63535,34.869817,"2006-03-30","2006-06-12","doi:10.6085/AA/PTSXXX_015ADCP015R00_20060330.50.1"
"96",-119.85566,33.96617,"2004-12-01","2005-02-24","doi:10.6085/AA/MORXXX_015ADCP015R00_20041201.50.3"
"97",-120.12842,33.89511,"2007-08-06","2007-11-15","doi:10.6085/AA/SRSXXX_015ADCP015R00_20070806.50.8"
"98",-121.898647,36.62185,"2006-12-01","2007-02-09","doi:10.6085/AA/HMS001_020ADCP019R00_20061201.50.4"
